id,y_true,y_pred,absolute_error
1735593801.671179,53.0,125.21981271821261,72.21981271821261
1735593806.742545,42.0,127.75224803903907,85.75224803903907
1735593811.787863,140.0,128.82556725044935,11.174432749550647
1735593816.82194,90.0,143.05621637777142,53.05621637777142
1735593821.857929,109.0,156.8133580599175,47.813358059917505
1735593826.88898,128.0,168.2136323571602,40.21363235716021
1735593831.933356,283.0,184.78118571770753,98.21881428229247
1735593837.001798,49.0,85.80059763704412,36.80059763704412
1735593842.028183,110.0,158.80803758307357,48.80803758307357
1735593847.053474,152.0,112.11066290507223,39.88933709492777
1735593852.082454,69.0,111.54550875990512,42.54550875990512
1735593857.108901,125.0,101.83547601327307,23.164523986726934
1735593862.136284,155.0,157.9351671894437,2.935167189443689
1735593867.167131,182.0,118.06323326559342,63.936766734406575
1735593872.191458,65.0,53.72923884480225,11.270761155197746
1735593877.225512,84.0,174.7880372129362,90.78803721293619
1735593882.265714,71.0,121.34323817635367,50.343238176353665
1735593887.303245,84.0,174.7880372129362,90.78803721293619
1735593892.354134,225.0,169.5568762854548,55.44312371454521
1735593897.396728,225.0,169.5568762854548,55.44312371454521
1735593902.438742,65.0,126.01950348470086,61.01950348470086
1735593907.473236,25.0,146.27950555690472,121.27950555690472
1735593912.510263,65.0,99.7376248784888,34.7376248784888
1735593917.554062,246.0,231.55903987256556,14.440960127434437
1735593922.591996,51.0,83.06700705458265,32.067007054582646
1735593927.642863,156.0,159.93706843463852,3.937068434638519
1735593932.672994,55.0,74.15429264703332,19.154292647033316
1735593937.702328,171.0,177.17568486302878,6.175684863028778
1735593942.735151,144.0,155.66997186693214,11.669971866932144
1735593947.774539,83.0,123.83433596242709,40.83433596242709
1735593952.827011,236.0,230.5772242337341,5.422775766265886
1735593957.873275,49.0,85.80059763704412,36.80059763704412
1735593962.925002,281.0,235.18181769259917,45.81818230740083
1735593967.97126,270.0,291.00209870551987,21.00209870551987
1735593973.017163,262.0,179.7516611004495,82.2483388995505
1735593978.060836,125.0,101.83547601327307,23.164523986726934
1735593983.104746,100.0,153.4804155188536,53.48041551885359
1735593988.143491,162.0,125.04342485444745,36.95657514555255
